episode_id,episode_text,domain,research_area,delta_ged,delta_ig,is_insight,cross_domain_count,domain_diversity,topk_count,vector_reconstruction,timestamp
11,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.011,False,9,10,10,"Episode_11: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:58:57.956191
12,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.012,False,9,10,10,"Episode_12: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:58:57.999221
13,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.013000000000000001,True,9,9,10,"Episode_13: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:58:58.042911
14,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.014,False,9,8,10,"Episode_14: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:58:58.086722
15,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.015,False,9,8,10,"Episode_15: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:58:58.130076
16,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.016,False,10,7,10,"Episode_16: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:58:58.174701
17,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.017,False,9,7,10,"Episode_17: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:58:58.219110
18,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.018000000000000002,False,9,6,10,"Episode_18: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:58:58.263796
19,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.019,False,9,6,10,"Episode_19: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:58:58.307861
20,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.02,False,10,5,10,"Episode_20: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:58:58.352553
21,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.021,False,10,5,10,"Episode_21: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:58:58.398404
22,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.022,False,8,6,10,"Episode_22: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:58:58.442166
23,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.023,False,10,5,10,"Episode_23: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:58:58.485615
24,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.024,False,10,5,10,"Episode_24: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:58:58.528818
25,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.025,False,8,5,10,"Episode_25: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:58:58.572661
26,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.026000000000000002,False,10,5,10,"Episode_26: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:58:58.617119
27,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.027,False,8,5,10,"Episode_27: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:58:58.664835
28,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.028,False,8,5,10,"Episode_28: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:58:58.711455
29,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.029,False,10,4,10,"Episode_29: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:58:58.753598
30,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.03,False,9,4,10,"Episode_30: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:58:58.798471
31,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.031,True,10,4,10,"Episode_31: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:58:58.843328
32,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.032,True,7,4,10,"Episode_32: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:58:58.886064
33,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.033,False,10,3,10,"Episode_33: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:58:58.929685
34,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.034,False,10,3,10,"Episode_34: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:58:58.973335
35,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.035,False,7,4,10,"Episode_35: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:58:59.016343
36,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.036000000000000004,False,10,4,10,"Episode_36: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:58:59.060686
37,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.037,False,10,4,10,"Episode_37: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:58:59.105336
38,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.038,False,8,4,10,"Episode_38: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:58:59.151050
39,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.039,False,10,4,10,"Episode_39: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:58:59.195532
40,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.04,True,7,4,10,"Episode_40: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:58:59.240672
41,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.041,False,10,3,10,"Episode_41: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:58:59.286431
42,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.042,False,10,3,10,"Episode_42: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:58:59.329603
43,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.043000000000000003,False,10,3,10,"Episode_43: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:58:59.373676
44,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.044,False,7,3,10,"Episode_44: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:58:59.417005
45,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.045,False,10,3,10,"Episode_45: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:58:59.460065
46,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.046,False,10,3,10,"Episode_46: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:58:59.504768
47,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.047,False,10,3,10,"Episode_47: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:58:59.549209
48,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.048,False,10,3,10,"Episode_48: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:58:59.593649
49,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.049,False,10,3,10,"Episode_49: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:58:59.638864
50,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.05,False,6,3,10,"Episode_50: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:58:59.685204
51,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.051000000000000004,False,10,2,10,"Episode_51: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:58:59.731273
52,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.052000000000000005,False,10,3,10,"Episode_52: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:58:59.774677
53,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.053,False,10,3,10,"Episode_53: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:58:59.818111
54,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.054,False,5,3,10,"Episode_54: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:58:59.861003
55,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.055,False,10,3,10,"Episode_55: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:58:59.903859
56,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.056,False,9,3,10,"Episode_56: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:58:59.948088
57,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.057,False,10,3,10,"Episode_57: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:58:59.992185
58,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.058,False,10,3,10,"Episode_58: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:00.037947
59,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.059000000000000004,False,10,3,10,"Episode_59: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:00.081920
60,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.06,False,8,3,10,"Episode_60: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:00.126536
61,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.061,True,10,3,10,"Episode_61: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:00.172238
62,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.062,False,10,3,10,"Episode_62: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:00.215507
63,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.063,False,10,3,10,"Episode_63: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:00.259156
64,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.064,False,4,3,10,"Episode_64: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:00.302683
65,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.065,False,10,2,10,"Episode_65: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:00.346161
66,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.066,False,7,2,10,"Episode_66: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:00.390822
67,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.067,False,10,2,10,"Episode_67: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:00.436456
68,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.068,False,10,2,10,"Episode_68: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:00.480883
69,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.069,False,10,2,10,"Episode_69: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:00.525972
70,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.07,False,10,2,10,"Episode_70: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:00.570490
71,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.07100000000000001,False,10,2,10,"Episode_71: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:00.616103
72,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.07200000000000001,False,10,2,10,"Episode_72: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:00.659920
73,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.073,False,10,2,10,"Episode_73: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:00.703765
74,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.074,False,5,2,10,"Episode_74: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:00.747294
75,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.075,False,10,2,10,"Episode_75: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:00.790717
76,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.076,True,5,2,10,"Episode_76: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:00.835281
77,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.077,False,10,2,10,"Episode_77: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:00.880028
78,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.078,False,10,2,10,"Episode_78: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:00.926403
79,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.079,False,10,2,10,"Episode_79: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:00.967664
80,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.08,False,10,2,10,"Episode_80: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:01.011783
81,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.081,False,10,2,10,"Episode_81: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:01.057957
82,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.082,False,10,2,10,"Episode_82: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:01.101559
83,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.083,False,10,2,10,"Episode_83: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:01.145198
84,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.084,False,7,2,10,"Episode_84: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:01.189112
85,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.085,False,10,2,10,"Episode_85: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:01.232580
86,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.08600000000000001,False,3,2,10,"Episode_86: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:01.277443
87,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.08700000000000001,False,10,2,10,"Episode_87: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:01.321409
88,"Recent research in Few-shot Learning demonstrates significant improvements in drug discovery, showing promising results with practical implications for real-world deployment.",drug discovery,Few-shot Learning,0.6858410239219666,0.088,False,10,2,10,"Episode_88: 中間抽象度, 集約的 (dims: [183, 158, 326, 305, 201])",2025-06-18T13:59:01.366051
89,"Recent research in Transfer Learning reveals new insights about financial prediction, showing promising results with practical implications for real-world deployment.",financial prediction,Transfer Learning,0.647900253534317,0.089,False,10,2,10,"Episode_89: 中間抽象度, 集約的 (dims: [263, 116, 146, 202, 67])",2025-06-18T13:59:01.409531
90,"Recent research in Adversarial Machine Learning establishes new benchmarks for educational technology, showing promising results with practical implications for real-world deployment.",educational technology,Adversarial Machine Learning,0.6267958283424377,0.09,False,10,2,10,"Episode_90: 中間抽象度, 集約的 (dims: [304, 34, 109, 141, 249])",2025-06-18T13:59:01.453688
91,"Recent research in Large Language Models achieves breakthrough performance on medical diagnosis, showing promising results with practical implications for real-world deployment.",medical diagnosis,Large Language Models,0.7565554976463318,0.091,False,10,2,10,"Episode_91: 中間抽象度, 集約的 (dims: [13, 282, 58, 91, 281])",2025-06-18T13:59:01.498742
92,"Recent research in Computer Vision introduces novel architecture for autonomous systems, showing promising results with practical implications for real-world deployment.",autonomous systems,Computer Vision,0.8714620172977448,0.092,False,10,2,10,"Episode_92: 中間抽象度, 集約的 (dims: [55, 373, 124, 359, 302])",2025-06-18T13:59:01.541272
93,"Recent research in Reinforcement Learning demonstrates significant improvements in natural language processing, showing promising results with practical implications for real-world deployment.",natural language processing,Reinforcement Learning,0.7472319304943085,0.093,False,10,2,10,"Episode_93: 中間抽象度, 集約的 (dims: [36, 182, 77, 235, 202])",2025-06-18T13:59:01.585147
94,"Recent research in Graph Neural Networks reveals new insights about computer vision, showing promising results with practical implications for real-world deployment.",computer vision,Graph Neural Networks,0.750832736492157,0.094,False,9,2,10,"Episode_94: 中間抽象度, 集約的 (dims: [360, 184, 305, 266, 71])",2025-06-18T13:59:01.628504
95,"Recent research in Federated Learning establishes new benchmarks for robotics, showing promising results with practical implications for real-world deployment.",robotics,Federated Learning,0.6535001993179321,0.095,False,10,2,10,"Episode_95: 中間抽象度, 集約的 (dims: [309, 42, 374, 377, 1])",2025-06-18T13:59:01.671607
96,"Recent research in Explainable AI achieves breakthrough performance on cybersecurity, showing promising results with practical implications for real-world deployment.",cybersecurity,Explainable AI,0.6540517210960388,0.096,False,1,2,10,"Episode_96: 中間抽象度, 集約的 (dims: [106, 62, 379, 367, 71])",2025-06-18T13:59:01.716245
97,"Recent research in Multimodal Learning introduces novel architecture for climate modeling, showing promising results with practical implications for real-world deployment.",climate modeling,Multimodal Learning,0.8807835876941681,0.097,True,10,1,10,"Episode_97: 中間抽象度, 集約的 (dims: [285, 367, 267, 188, 181])",2025-06-18T13:59:01.760532
